2191,27.94, 49
486691,34.12, 83
Vazao | Tempo: 486692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 487032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 487532, Pulsos: 0, PWMooler: 4
488191,34.12, 83
Vazao | Tempo: 488192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 488532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 489032, Pulsos: 0, PWMooler: 4
489691,34.12, 83
Vazao | Tempo: 489692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 490032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 490532, Pulsos: 0, PWMooler: 4
491191,34.12, 83
Vazao | Tempo: 491192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 491532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 492032, Pulsos: 0, PWMooler: 4
492691,34.19, 83
Vazao | Tempo: 492692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 493032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 493532, Pulsos: 0, PWMooler: 4
494191,34.19, 83
Vazao | Tempo: 494192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 494532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 495032, Pulsos: 0, PWMooler: 4
495691,34.19, 83
Vazao | Tempo: 495692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 496032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 496532, Pulsos: 0, PWMooler: 4
497191,34.19, 83
Vazao | Tempo: 497192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 497532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 498032, Pulsos: 0, PWMooler: 4
498691,34.25, 83
Vazao | Tempo: 498692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 499032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 499532, Pulsos: 0, PWMooler: 4
500191,34.25, 83
Vazao | Tempo: 500192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 500532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 501032, Pulsos: 0, PWMooler: 4
501691,34.25, 84
Vazao | Tempo: 501692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 502032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 502532, Pulsos: 0, PWMooler: 4
503191,34.25, 84
Vazao | Tempo: 503192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 503532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 504032, Pulsos: 0, PWMooler: 4
504691,34.31, 83
Vazao | Tempo: 504692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 505032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 505532, Pulsos: 0, PWMooler: 4
506191,34.31, 84
Vazao | Tempo: 506192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 506532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 507032, Pulsos: 0, PWMooler: 4
507691,34.31, 84
Vazao | Tempo: 507692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 508032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 508532, Pulsos: 0, PWMooler: 4
509191,34.31, 84
Vazao | Tempo: 509192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 509532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 510032, Pulsos: 0, PWMooler: 4
510691,34.38, 84
Vazao | Tempo: 510692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 511032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 511532, Pulsos: 0, PWMooler: 4
512191,34.38, 84
Vazao | Tempo: 512192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 512532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 513032, Pulsos: 0, PWMooler: 4
513691,34.38, 84
Vazao | Tempo: 513692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 514032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 514532, Pulsos: 0, PWMooler: 4
515191,34.38, 84
Vazao | Tempo: 515192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 515532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 516032, Pulsos: 0, PWMooler: 4
516691,34.44, 84
Vazao | Tempo: 516692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 517032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 517532, Pulsos: 0, PWMooler: 4
518191,34.44, 84
Vazao | Tempo: 518192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 518532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 519032, Pulsos: 0, PWMooler: 4
519691,34.44, 84
Vazao | Tempo: 519692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 520032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 520532, Pulsos: 0, PWMooler: 4
521191,34.44, 84
Vazao | Tempo: 521192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 521532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 522032, Pulsos: 0, PWMooler: 4
522691,34.50, 84
Vazao | Tempo: 522692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 523032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 523532, Pulsos: 0, PWMooler: 4
524191,34.50, 84
Vazao | Tempo: 524192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 524532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 525032, Pulsos: 0, PWMooler: 4
525691,34.50, 84
Vazao | Tempo: 525692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 526032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 526532, Pulsos: 0, PWMooler: 4
527191,34.56, 84
Vazao | Tempo: 527192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 527532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 528032, Pulsos: 0, PWMooler: 4
528691,34.56, 84
Vazao | Tempo: 528692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 529032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 529532, Pulsos: 0, PWMooler: 4
530191,34.56, 84
Vazao | Tempo: 530192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 530532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 531032, Pulsos: 0, PWMooler: 4
531691,34.56, 85
Vazao | Tempo: 531692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 532032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 532532, Pulsos: 0, PWMooler: 4
533191,34.56, 85
Vazao | Tempo: 533192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 533532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 534032, Pulsos: 0, PWMooler: 4
534691,34.62, 84
Vazao | Tempo: 534692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 535032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 535532, Pulsos: 0, PWMooler: 4
536191,34.62, 85
Vazao | Tempo: 536192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 536532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 537032, Pulsos: 0, PWMooler: 4
537691,34.62, 85
Vazao | Tempo: 537692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 538032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 538532, Pulsos: 0, PWMooler: 4
539191,34.62, 85
Vazao | Tempo: 539192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 539532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 540032, Pulsos: 0, PWMooler: 4
540691,34.69, 85
Vazao | Tempo: 540692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 541032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 541532, Pulsos: 0, PWMooler: 4
542191,34.69, 85
Vazao | Tempo: 542192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 542532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 543032, Pulsos: 0, PWMooler: 4
543691,34.69, 85
Vazao | Tempo: 543692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 544032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 544532, Pulsos: 0, PWMooler: 4
545191,34.69, 85
Vazao | Tempo: 545192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 545532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 546032, Pulsos: 0, PWMooler: 4
546691,34.75, 85
Vazao | Tempo: 546692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 547032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 547532, Pulsos: 0, PWMooler: 4
548191,34.75, 85
Vazao | Tempo: 548192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 548532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 549032, Pulsos: 0, PWMooler: 4
549691,34.75, 85
Vazao | Tempo: 549692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 550032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 550532, Pulsos: 0, PWMooler: 4
551191,34.75, 85
Vazao | Tempo: 551192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 551532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 552032, Pulsos: 0, PWMooler: 4
552691,34.81, 85
Vazao | Tempo: 552692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 553032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 553532, Pulsos: 0, PWMooler: 4
554191,34.81, 85
Vazao | Tempo: 554192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 554532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 555032, Pulsos: 0, PWMooler: 4
555691,34.81, 85
Vazao | Tempo: 555692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 556032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 556532, Pulsos: 0, PWMooler: 4
557191,34.88, 85
Vazao | Tempo: 557192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 557532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 558032, Pulsos: 0, PWMooler: 4
558691,34.88, 85
Vazao | Tempo: 558692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 559032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 559532, Pulsos: 0, PWMooler: 4
560191,34.88, 85
Vazao | Tempo: 560192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 560532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 561032, Pulsos: 0, PWMooler: 4
561691,34.88, 85
Vazao | Tempo: 561692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 562032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 562532, Pulsos: 0, PWMooler: 4
563191,34.88, 86
Vazao | Tempo: 563192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 563532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 564032, Pulsos: 0, PWMooler: 4
564691,34.94, 85
Vazao | Tempo: 564692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 565032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 565532, Pulsos: 0, PWMooler: 4
566191,34.94, 85
Vazao | Tempo: 566192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 566532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 567032, Pulsos: 0, PWMooler: 4
567691,34.94, 86
Vazao | Tempo: 567692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 568032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 568532, Pulsos: 0, PWMooler: 4
569191,34.94, 86
Vazao | Tempo: 569192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 569532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 570032, Pulsos: 0, PWMooler: 4
570691,35.00, 86
Vazao | Tempo: 570692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 571032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 571532, Pulsos: 0, PWMooler: 4
572191,35.00, 86
Vazao | Tempo: 572192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 572532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 573032, Pulsos: 0, PWMooler: 4
573691,35.00, 86
Vazao | Tempo: 573692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 574032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 574532, Pulsos: 0, PWMooler: 4
575191,35.00, 86
Vazao | Tempo: 575192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 575532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 576032, Pulsos: 0, PWMooler: 4
576691,35.00, 86
Vazao | Tempo: 576692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 577032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 577532, Pulsos: 0, PWMooler: 4
578191,35.06, 86
Vazao | Tempo: 578192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 578532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 579032, Pulsos: 0, PWMooler: 4
579691,35.06, 86
Vazao | Tempo: 579692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 580032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 580532, Pulsos: 0, PWMooler: 4
581191,35.06, 86
Vazao | Tempo: 581192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 581532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 582032, Pulsos: 0, PWMooler: 4
582691,35.06, 86
Vazao | Tempo: 582692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 583032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 583532, Pulsos: 0, PWMooler: 4
584191,35.12, 86
Vazao | Tempo: 584192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 584532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 585032, Pulsos: 0, PWMooler: 4
585691,35.12, 86
Vazao | Tempo: 585692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 586032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 586532, Pulsos: 0, PWMooler: 4
587191,35.12, 86
Vazao | Tempo: 587192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 587532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 588032, Pulsos: 0, PWMooler: 4
588691,35.12, 86
Vazao | Tempo: 588692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 589032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 589532, Pulsos: 0, PWMooler: 4
590191,35.19, 86
Vazao | Tempo: 590192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 590532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 591032, Pulsos: 0, PWMooler: 4
591691,35.19, 86
Vazao | Tempo: 591692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 592032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 592532, Pulsos: 0, PWMooler: 4
593191,35.19, 86
Vazao | Tempo: 593192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 593532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 594032, Pulsos: 0, PWMooler: 4
594691,35.19, 86
Vazao | Tempo: 594692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 595032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 595532, Pulsos: 0, PWMooler: 4
596191,35.25, 86
Vazao | Tempo: 596192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 596532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 597032, Pulsos: 0, PWMooler: 4
597691,35.25, 86
Vazao | Tempo: 597692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 598032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 598532, Pulsos: 0, PWMooler: 4
599191,35.25, 86
Vazao | Tempo: 599192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 599532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 600032, Pulsos: 0, PWMooler: 4
600691,35.25, 86
Vazao | Tempo: 600692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 601032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 601532, Pulsos: 0, PWMooler: 4
602191,35.25, 87
Vazao | Tempo: 602192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 602532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 603032, Pulsos: 0, PWMooler: 4
603691,35.31, 86
Vazao | Tempo: 603692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 604032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 604532, Pulsos: 0, PWMooler: 4
605191,35.31, 87
Vazao | Tempo: 605192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 605532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 606032, Pulsos: 0, PWMooler: 4
606691,35.31, 87
Vazao | Tempo: 606692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 607032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 607532, Pulsos: 0, PWMooler: 4
608191,35.31, 87
Vazao | Tempo: 608192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 608532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 609032, Pulsos: 0, PWMooler: 4
609691,35.31, 87
Vazao | Tempo: 609692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 610032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 610532, Pulsos: 0, PWMooler: 4
611191,35.38, 87
Vazao | Tempo: 611192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 611532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 612032, Pulsos: 0, PWMooler: 4
612691,35.38, 87
Vazao | Tempo: 612692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 613032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 613532, Pulsos: 0, PWMooler: 4
614191,35.38, 87
Vazao | Tempo: 614192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 614532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 615032, Pulsos: 0, PWMooler: 4
615691,35.44, 87
Vazao | Tempo: 615692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 616032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 616532, Pulsos: 0, PWMooler: 4
617191,35.44, 87
Vazao | Tempo: 617192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 617532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 618032, Pulsos: 0, PWMooler: 4
618691,35.44, 87
Vazao | Tempo: 618692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 619032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 619532, Pulsos: 0, PWMooler: 4
620191,35.44, 87
Vazao | Tempo: 620192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 620532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 621032, Pulsos: 0, PWMooler: 4
621691,35.44, 87
Vazao | Tempo: 621692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 622032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 622532, Pulsos: 0, PWMooler: 4
623191,35.50, 87
Vazao | Tempo: 623192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 623532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 624032, Pulsos: 0, PWMooler: 4
624691,35.50, 87
Vazao | Tempo: 624692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 625032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 625532, Pulsos: 0, PWMooler: 4
626191,35.50, 87
Vazao | Tempo: 626192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 626532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 627032, Pulsos: 0, PWMooler: 4
627691,35.50, 87
Vazao | Tempo: 627692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 628032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 628532, Pulsos: 0, PWMooler: 4
629191,35.56, 87
Vazao | Tempo: 629192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 629532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 630032, Pulsos: 0, PWMooler: 4
630691,35.56, 87
Vazao | Tempo: 630692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 631032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 631532, Pulsos: 0, PWMooler: 4
632191,35.56, 87
Vazao | Tempo: 632192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 632532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 633032, Pulsos: 0, PWMooler: 4
633691,35.56, 87
Vazao | Tempo: 633692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 634032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 634532, Pulsos: 0, PWMooler: 4
635191,35.56, 87
Vazao | Tempo: 635192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 635532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 636032, Pulsos: 0, PWMooler: 4
636691,35.62, 87
Vazao | Tempo: 636692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 637032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 637532, Pulsos: 0, PWMooler: 4
638191,35.62, 87
Vazao | Tempo: 638192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 638532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 639032, Pulsos: 0, PWMooler: 4
639691,35.62, 87
Vazao | Tempo: 639692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 640032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 640532, Pulsos: 0, PWMooler: 4
641191,35.62, 87
Vazao | Tempo: 641192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 641532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 642032, Pulsos: 0, PWMooler: 4
642691,35.62, 88
Vazao | Tempo: 642692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 643032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 643532, Pulsos: 0, PWMooler: 4
644191,35.69, 87
Vazao | Tempo: 644192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 644532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 645032, Pulsos: 0, PWMooler: 4
645691,35.69, 87
Vazao | Tempo: 645692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 646032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 646532, Pulsos: 0, PWMooler: 4
647191,35.69, 88
Vazao | Tempo: 647192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 647532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 648032, Pulsos: 0, PWMooler: 4
648691,35.69, 88
Vazao | Tempo: 648692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 649032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 649532, Pulsos: 0, PWMooler: 4
650191,35.69, 88
Vazao | Tempo: 650192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 650532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 651032, Pulsos: 0, PWMooler: 4
651691,35.75, 88
Vazao | Tempo: 651692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 652032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 652532, Pulsos: 0, PWMooler: 4
653191,35.75, 88
Vazao | Tempo: 653192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 653532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 654032, Pulsos: 0, PWMooler: 4
654691,35.75, 88
Vazao | Tempo: 654692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 655032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 655532, Pulsos: 0, PWMooler: 4
656191,35.75, 88
Vazao | Tempo: 656192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 656532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 657032, Pulsos: 0, PWMooler: 4
657691,35.75, 88
Vazao | Tempo: 657692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 658032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 658532, Pulsos: 0, PWMooler: 4
659191,35.81, 88
Vazao | Tempo: 659192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 659532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 660032, Pulsos: 0, PWMooler: 4
660691,35.81, 88
Vazao | Tempo: 660692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 661032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 661532, Pulsos: 0, PWMooler: 4
662191,35.81, 88
Vazao | Tempo: 662192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 662532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 663032, Pulsos: 0, PWMooler: 4
663691,35.81, 88
Vazao | Tempo: 663692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 664032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 664532, Pulsos: 0, PWMooler: 4
665191,35.81, 88
Vazao | Tempo: 665192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 665532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 666032, Pulsos: 0, PWMooler: 4
666691,35.81, 88
Vazao | Tempo: 666692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 667032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 667532, Pulsos: 0, PWMooler: 4
668191,35.88, 88
Vazao | Tempo: 668192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 668532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 669032, Pulsos: 0, PWMooler: 4
669691,35.88, 88
Vazao | Tempo: 669692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 670032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 670532, Pulsos: 0, PWMooler: 4
671191,35.88, 88
Vazao | Tempo: 671192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 671532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 672032, Pulsos: 0, PWMooler: 4
672691,35.88, 88
Vazao | Tempo: 672692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 673032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 673532, Pulsos: 0, PWMooler: 4
674191,35.94, 88
Vazao | Tempo: 674192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 674532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 675032, Pulsos: 0, PWMooler: 4
675691,35.94, 88
Vazao | Tempo: 675692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 676032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 676532, Pulsos: 0, PWMooler: 4
677191,35.94, 88
Vazao | Tempo: 677192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 677532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 678032, Pulsos: 0, PWMooler: 4
678691,35.94, 88
Vazao | Tempo: 678692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 679032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 679532, Pulsos: 0, PWMooler: 4
680191,35.94, 88
Vazao | Tempo: 680192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 680532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 681032, Pulsos: 0, PWMooler: 4
681691,36.00, 88
Vazao | Tempo: 681692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 682032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 682532, Pulsos: 0, PWMooler: 4
683191,36.00, 88
Vazao | Tempo: 683192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 683532, Pulsos: 0, PWMooler: 4
